crc,indtype,rndinten,expinten
101994382,3139,0,0
101994999,2664,0,0
101996310,3040,0,0
101996871,2829,0,0
101997882,1590,0,0
101999028,2312,0,0
102000124,1810,0,0
102002605,3110,0,0
102003018,2319,0,0
102005312,3727,0,0
102006761,4069,0,.0134992
102013283,1522,.1260049,0
102015385,4213,0,0
102016564,4215,0,0
102016695,4230,0,0
102016935,4319,0,0
102017145,2720,.0234301,0
102017380,2311,0,0
102019669,4190,.025603855,0
102019933,2230,0,0
102025858,3536,0,0
102026957,3685,0,0
102029031,2311,0,0
102030534,4211,.022000512,0
102030972,4215,0,0
102032011,3571,0,0
102033639,2750,0,0
102035394,2675,0,0
102036944,4119,0,0
102040871,2311,0,0
102041663,4143,.067485943,0
102041751,3782,0,0
102042252,3519,.0043872371,.0082910322
102043060,4190,0,0
102043343,2710,.092183419,0
102043722,4143,.092935227,0
102046325,4230,0,0
102046456,2319,0,0
102047440,4130,0,0
102049016,2730,0,0
102050981,3442,0,0
10205128X,3534,0,0
102051941,4190,0,0
102055036,4029,0,0
102055141,3410,0,0
102058086,4190,0,0
102059433,3434,0,0
102062691,2730,0,0
102063029,3782,0,0
102063635,3442,0,0
102064646,2311,0,0
102066377,4215,0,0
102067783,2730,0,0
102068575,4160,.13743399,0
102069316,4316,0,0
10207342X,3652,0,0
102073948,3431,0,0
10208118X,4190,.12863071,0
102083978,3521,0,0
102088445,1412,0,0
102088760,4112,0,0
102091847,2629,0,0
102094757,2031,0,0
102103609,3442,0,0
102104070,3090,0,0
10210429X,2031,0,0
102106447,3070,0,0
102106527,3536,0,0
102107028,3672,0,0
102109699,2110,0,.042845014
102111350,2320,0,0
102111422,3080,.96726191,0
102118747,4252,.049736653,.039068822
102121823,4119,.030342387,0
102122789,3534,0,0
102123319,3525,0,0
102123351,3782,0,0
102124063,2720,0,0
102124370,4024,0,0
102124733,3689,.030607782,0
102126229,2666,0,0
102126309,2811,0,0
102126771,3679,.0077125086,0
102127563,3675,0,0
102127600,3534,0,0
102128136,2677,0,0
102128718,2311,0,0
102129024,2319,0,0
102129067,1412,0,0
102130244,4226,0,0
102130383,2652,0,0
102130666,3521,0,0
10213080X,3714,0,0
102131300,3725,0,0
102131415,3619,0,0
102131853,3123,0,0
102132784,4221,0,0
